row_id,vendor_name,sum_total_value,frac,run_frac
491,COLECTICA,1373580.0,0.002928614630696408,0.20084999867725684
492,OPEN TEXT CORPORATION,1377920.8,0.002937869665269514,0.20378786834252635
493,BLOOMBERG L.P.,1427386.69,0.003043336059053945,0.2068312044015803
494,FIS REFERENCE DATA SOLUTIONS LLC,1429251.1,0.0030473111740116593,0.20987851557559195
495,JML SYSTEMS & SOLUTIONS INC.,1487201.9899999998,0.003170868465407775,0.2130493840409997
496,SAMSON ET ASSOCIES CPA/CONSULTATION INC,1513652.0,0.003227262622477671,0.2162766466634774
497,AVANT SYSTEMS GROUP MANITOBA LTD.,1563246.03,0.003333002223995745,0.21960964888747314
498,METRO XPRESS INC.,1568938.5,0.0033451391588133752,0.22295478804628652
499,GAMBIT IT SOLUTIONS INC.,1593301.1,0.0033970827418604525,0.22635187078814697
500,HYPERTECHNOLOGIE CIARA INC.,1634920.17,0.003485818903800767,0.22983768969194773
501,CANON CANADA INC.,1829137.91,0.0038999112136078344,0.23373760090555556
502,IBM CANADA LIMITED,1895778.13,0.004041995055309684,0.23777959596086526
503,GRAYBRIDGE INTERNATIONAL CONSULTING INC.,1901424.24,0.004054033145812256,0.24183362910667752
504,BELL CANADA,1908570.0,0.0040692686452250635,0.24590289775190258
505,TPG TECHNOLOGY CONSULTING LTD,1999987.0,0.004264179144573025,0.2501670768964756
506,FACTIVA LIMITED,2096615.2399999998,0.0044702005466045365,0.2546372774430801
507,STAPLES PROFESSIONAL INC.,2297963.98,0.004899496885977772,0.2595367743290579
508,VERITAAQ TECHNOLOGY HOUSE INC.,2728526.25,0.005817500179086187,0.2653542745081441
509,GARTNER CANADA CO.,2827435.41,0.006028384738475441,0.27138265924661953
510,ADIRONDACK INFORMATION MANAGEMENT INC.,2874155.0,0.00612799573660743,0.27751065498322697
511,ISO LANGUES,2879000.0,0.006138325777730425,0.2836489807609574
512,TUNDRA TECHNICAL SOLUTIONS INC,3011450.0,0.0064207228771609205,0.2900697036381183
513,OPTIV CANADA FEDERAL INC.,3257619.1400000006,0.006945580945151102,0.29701528458326937
514,SOFTCHOICE CORPORATION,3430638.3200000003,0.007314475732450782,0.3043297603157202
515,ECOLE DE LANGUES LA CITE INC.,3480965.0,0.007421777419547548,0.3117515377352677
516,CALIAN LTD.,3857261.08,0.0082240795827719,0.3199756173180396
517,INTERCONTINENTAL TRUCK BODY (BC) INC.,3886757.0,0.008286967935003187,0.32826258525304275
518,PURESPIRIT SOLUTIONS INC.,4071808.2499999995,0.008681516340031403,0.33694410159307414
519,NORTHERN MICRO INC.,4693856.62,0.010007787803930742,0.3469518893970049
520,S.I. SYSTEMS ULC,5381812.0,0.011474579829975316,0.3584264692269802
521,ESRI CANADA LIMITED,5609304.829999999,0.011959618073336845,0.370386087300317
522,DONNA CONA INC.,6732670.659999998,0.01435475021370174,0.3847408375140188
523,NOVA NETWORKS INC,8991129.870000001,0.01917001884402328,0.403910856358042
524,CANADIAN CORPS OF COMMISSIONAIRES,9400413.440000001,0.02004265374785535,0.4239535101058974
525,TEKSYSTEMS CANADA CORP,12156726.86,0.02591939904743517,0.44987290915333256
526,GROUPM CANADA INC  D/B/A ESSENCEMEDIACOM CAN,13322700.0,0.02840537437963499,0.47827828353296753
527,COSSETTE MEDIA INC.,14410193.92,0.03072402389761384,0.5090023074305814
528,TRANSCONTINENTAL PRINTING 2005 G.P.,17252940.0,0.03678505256812656,0.545787359998708
529,SAS INSTITUTE (CANADA) INC,26923774.0,0.05740427091975971,0.6031916309184677
530,ORACLE CANADA ULC,29222997.9,0.062306454085492215,0.6654980850039599
531,MICROSOFT CANADA INC.,156888221.34,0.3345019149960398,0.9999999999999998
